symbol,ipo
AAPL,1900-01-01
META,1990-01-01
GOOG,1900-01-01
AMZN,1900-01-01
MSFT,1900-01-01
NVDA,1900-01-01
NDX,1900-01-01
QQQ,1900-01-01
INDY,1900-01-01
TSLA,1900-01-01
KWEB,1900-01-01
GLD,1900-01-01
SLV,1900-01-01
SOXX,1900-01-01
IHI,1900-01-01
NFLX,1900-01-01
DIS,1900-01-01
BTC-USD,1900-01-01
^SPX,1900-01-01
^TNX,1900-01-01
^DJI,1900-01-01
^GSPC,1900-01-01
^NDX,1900-01-01
