AAPL
META
GOOG
AMZN
MSFT
NVDA
NDX
QQQ
INDY
TSLA
KWEB
GLD
SLV
SOXX
IHI
NFLX
DIS
BTC-USD
^SPX
^TNX
^DJI
^GSPC
^NDX
