ExtID,Level,Type,Width,Behavior,Description, 
1,0.5581$,Support,,,161.8% of 0.2525-0.4414,
2,0.7470$,Support,,,261.8% of 0.2525-0.4414,
3,1.0527$,Support,,,423.6% of 0.2525-0.4414,
4,1.5472$,Support,,,685.4% of 0.2525-0.4414,
5,1.7963$,Support,,,161.8% of 1.2879-1.6021,
6,2.1105$,Support,,,261.8% of 1.2879-1.6021,
7,2.3474$,Support,,,1109.0% of 0.2525-0.4414,
8,2.6189$,Support,,,423.6% of 1.2879-1.6021,
9,3.4414$,Support,,,685.4% of 1.2879-1.6021,
10,3.6421$,Support,,,1794.4% of 0.2525-0.4414,
11,4.7724$,Support,,,1109.0% of 1.2879-1.6021,
12,5.7370$,Resistance,,Breakout,2903.4% of 0.2525-0.4414,
13,6.9259$,Resistance,,Breakout,1794.4% of 1.2879-1.6021,
14,8.6868$,Resistance,,Breakout,161.8% of 4.4650-7.0743,
15,9.0750$,Resistance,1.14%,Vibration,161.8% of 3.0482-6.7411 & 4697.8% of 0.2525-0.4414,
16,10.4104$,Resistance,,Breakout,2903.4% of 1.2879-1.6021,
17,11.2961$,Resistance,,Semi-Breakout,261.8% of 4.4650-7.0743,
18,12.7162$,Resistance,,Vibration,261.8% of 3.0482-6.7411,
19,14.6112$,Resistance,,Resistance,7601.2% of 0.2525-0.4414,
20,15.5180$,Resistance,,Breakout,423.6% of 4.4650-7.0743,
21,16.0484$,Resistance,,Breakout,4697.8% of 1.2879-1.6021,
22,18.6913$,Resistance,,Breakout,423.6% of 3.0482-6.7411,
23,22.3491$,Resistance,,Resistance,685.4% of 4.4650-7.0743,
24,25.1709$,Resistance,,Resistance,7601.2% of 1.2879-1.6021,
25,28.3593$,Resistance,,Semi-Breakout,685.4% of 3.0482-6.7411,
26,33.4021$,Resistance,,Resistance,1109.0% of 4.4650-7.0743,
27,44.0025$,Resistance,,Resistance,1109.0% of 3.0482-6.7411,
28,51.2863$,Resistance,,Breakout,1794.4% of 4.4650-7.0743,
29,69.3136$,Resistance,,Breakout,1794.4% of 3.0482-6.7411,
30,80.2234$,Resistance,,Resistance,2903.4% of 4.4650-7.0743,
31,110.2679$,Resistance,,Breakout,2903.4% of 3.0482-6.7411,
32,127.0447$,Resistance,,Resistance,4697.8% of 4.4650-7.0743,
33,176.5333$,Resistance,,Resistance,4697.8% of 3.0482-6.7411,
34,202.8031$,Resistance,,,7601.2% of 4.4650-7.0743,
35,283.7529$,Resistance,,,7601.2% of 3.0482-6.7411,
,,,,,,
Ticker:,AAPL,Current Date:,30 Jun 2009,Current Price:,5.0868$,
,From: 31 Dec 1980,To: 31 Oct 2023,By: Monthly,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
