ExtID,Level,Type,Width,Behavior,Description, 
1,0.5793$,Support,,,161.8% of 0.2343-0.4475,
2,0.7925$,Support,,,261.8% of 0.2343-0.4475,
3,1.1374$,Support,,,423.6% of 0.2343-0.4475,
4,1.6956$,Support,,,685.4% of 0.2343-0.4475,
5,1.8037$,Support,,,161.8% of 1.2418-1.5891,
6,2.1510$,Support,,,261.8% of 1.2418-1.5891,
7,2.5987$,Support,,,1109.0% of 0.2343-0.4475,
8,2.7130$,Support,,,423.6% of 1.2418-1.5891,
9,3.6222$,Support,,,685.4% of 1.2418-1.5891,
10,4.0600$,Support,,,1794.4% of 0.2343-0.4475,
11,5.0934$,Support,,,1109.0% of 1.2418-1.5891,
12,6.4243$,Resistance,,Breakout,2903.4% of 0.2343-0.4475,
13,7.4738$,Resistance,,Resistance,1794.4% of 1.2418-1.5891,
14,9.0003$,Resistance,2.01%,Semi-Breakout,161.8% of 4.2664-7.1368 & 161.8% of 2.9404-6.7411,
15,10.2500$,Resistance,,Breakout,4697.8% of 0.2343-0.4475,
16,11.3253$,Resistance,,Resistance,2903.4% of 1.2418-1.5891,
17,11.7811$,Resistance,,Breakout,261.8% of 4.2664-7.1368,
18,12.8906$,Resistance,,Resistance,261.8% of 2.9404-6.7411,
19,16.4327$,Resistance,0.09%,Breakout,423.6% of 4.2664-7.1368 & 7601.2% of 0.2343-0.4475,
20,17.5573$,Resistance,,Breakout,4697.8% of 1.2418-1.5891,
21,19.0402$,Resistance,,Breakout,423.6% of 2.9404-6.7411,
22,23.9401$,Resistance,,Semi-Resistance,685.4% of 4.2664-7.1368,
23,27.6408$,Resistance,,Semi-Resistance,7601.2% of 1.2418-1.5891,
24,28.9904$,Resistance,,Semi-Resistance,685.4% of 2.9404-6.7411,
25,36.0991$,Resistance,,Breakout,1109.0% of 4.2664-7.1368,
26,45.0902$,Resistance,,Resistance,1109.0% of 2.9404-6.7411,
27,55.7729$,Resistance,,Resistance,1794.4% of 4.2664-7.1368,
28,71.1402$,Resistance,,Semi-Resistance,1794.4% of 2.9404-6.7411,
29,87.6056$,Resistance,,Breakout,2903.4% of 4.2664-7.1368,
30,113.2899$,Resistance,,Semi-Breakout,2903.4% of 2.9404-6.7411,
31,139.1121$,Resistance,,Resistance,4697.8% of 4.2664-7.1368,
32,181.4897$,Resistance,,Resistance,4697.8% of 2.9404-6.7411,
33,222.4512$,Resistance,,,7601.2% of 4.2664-7.1368,
34,291.8392$,Resistance,,,7601.2% of 2.9404-6.7411,
,,,,,,
Ticker:,AAPL,Current Date:,19 Jul 2009,Current Price:,5.4196$,
,From: 14 Dec 1980,To: 12 Nov 2023,By: Weekly,Merge: 2.5%,Recent Pivots: 4,
,,,,,,
